Date,ABBV,BIIB,CI,CVS,HCA,MCK,MRNA,REGN,TEVA,VRTX,^GSPC
2022-03-18,137.60340881347656,208.57000732421875,224.4236297607422,93.29914855957031,251.97140502929688,293.1881103515625,178.92999267578125,681.3370971679688,7.889999866485596,249.0800018310547,4463.1201171875
2022-03-21,138.3380889892578,206.80999755859375,226.6105194091797,93.37741088867188,252.82200622558594,294.06060791015625,175.3800048828125,688.54833984375,7.929999828338623,250.25999450683594,4461.18017578125
2022-03-22,138.30352783203125,210.9199981689453,226.62916564941406,93.23828125,251.65248107910156,294.0410461425781,186.72000122070312,687.9920654296875,8.069999694824219,251.8800048828125,4511.60986328125
2022-03-23,136.92926025390625,209.6199951171875,221.94822692871094,92.34268188476562,251.9037322998047,294.1391296386719,178.72999572753906,664.729248046875,8.109999656677246,248.1300048828125,4456.240234375
2022-03-24,138.53689575195312,213.00999450683594,225.2983856201172,93.9512939453125,251.89402770996094,297.9920959472656,179.67999267578125,675.1985473632812,8.170000076293945,251.6999969482422,4520.16015625
2022-03-25,139.4444580078125,210.97000122070312,226.6757049560547,94.3947525024414,251.39144897460938,304.39404296875,165.9199981689453,675.4667358398438,8.619999885559082,253.9499969482422,4543.06005859375
2022-03-28,139.99765014648438,211.67999267578125,226.75013732910156,93.9426040649414,255.57681274414062,302.4430847167969,173.0800018310547,688.7469482421875,8.5600004196167,255.72000122070312,4575.52001953125
2022-03-29,140.17913818359375,214.9499969482422,226.4523162841797,91.0210189819336,254.84219360351562,300.98223876953125,180.63999938964844,693.7432250976562,8.8100004196167,257.9800109863281,4631.60009765625
2022-03-30,141.53616333007812,211.02999877929688,228.76951599121094,90.03846740722656,246.4425048828125,301.0018615722656,174.9199981689453,687.7339477539062,9.380000114440918,256.5199890136719,4602.4501953125
2022-03-31,140.11865234375,210.60000610351562,222.98121643066406,88.00379943847656,242.2474822998047,300.12933349609375,172.25999450683594,693.7333374023438,9.390000343322754,260.9700012207031,4530.41015625
2022-04-01,140.61129760742188,210.64999389648438,229.160400390625,87.89944458007812,242.37315368652344,300.98223876953125,176.58999633789062,690.1674194335938,9.390000343322754,266.1499938964844,4545.85986328125
2022-04-04,139.92849731445312,211.63999938964844,225.44728088378906,86.9516830444336,237.38552856445312,299.7665710449219,172.5399932861328,693.7234497070312,9.890000343322754,268.6400146484375,4582.64013671875
2022-04-05,141.2595672607422,207.61000061035156,228.0808868408203,86.48213958740234,235.4716796875,300.98223876953125,162.0500030517578,686.8299560546875,9.970000267028809,269.9599914550781,4525.1201171875
2022-04-06,145.99618530273438,209.7100067138672,232.28721618652344,88.74286651611328,242.11219787597656,305.4626770019531,154.6199951171875,703.6066284179688,10.050000190734863,272.3900146484375,4481.14990234375
2022-04-07,149.7733612060547,211.63999938964844,237.42410278320312,90.09062957763672,246.12356567382812,313.86474609375,159.0,716.9564819335938,10.180000305175781,275.8299865722656,4500.2099609375
2022-04-08,151.22549438476562,214.75,240.0019073486328,92.6991958618164,250.04791259765625,319.4529724121094,160.83999633789062,733.8821411132812,10.399999618530273,280.2799987792969,4488.27978515625
2022-04-11,146.79139709472656,210.6199951171875,236.4842071533203,90.821044921875,249.554931640625,314.3843078613281,160.0,717.522705078125,10.260000228881836,281.0899963378906,4412.52978515625
2022-04-12,144.61325073242188,208.05999755859375,237.13563537597656,90.98624420166016,252.17442321777344,316.2568664550781,159.5,710.98681640625,10.149999618530273,281.1499938964844,4397.4501953125
2022-04-13,138.55502319335938,213.97999572753906,241.01622009277344,91.28187561035156,249.9995880126953,319.2372131347656,169.66000366210938,726.978759765625,10.279999732971191,290.92999267578125,4446.58984375
2022-04-14,141.48388671875,212.5500030517578,241.2209930419922,90.15150451660156,252.22271728515625,316.9136962890625,165.49000549316406,728.1012573242188,10.1899995803833,287.9700012207031,4392.58984375
2022-04-18,138.9123992919922,212.5399932861328,240.98828125,89.92543029785156,251.22715759277344,320.2471008300781,154.75,718.3471069335938,10.109999656677246,282.989990234375,4391.68994140625
